t2sw,lab
/home/sn21/localiser/carp-firstdynamic/CARP0006_301_T2ME_corSENSE.e01_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0006_301_T2ME_corSENSE_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0006_301_T2ME_corSENSE.e02_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0006_301_T2ME_corSENSE_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0006_301_T2ME_corSENSE.e03_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0006_301_T2ME_corSENSE_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0007_2001_T2ME_corSENSE.e01_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0007_2001_T2ME_corSENSE_tmpt1_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0007_2001_T2ME_corSENSE.e02_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0007_2001_T2ME_corSENSE_tmpt1_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0007_2001_T2ME_corSENSE.e03_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0007_2001_T2ME_corSENSE_tmpt1_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0010_1101_T2ME_corSENSE.e01_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0010_1101_T2ME_corSENSE_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0010_1101_T2ME_corSENSE.e02_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0010_1101_T2ME_corSENSE_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0010_1101_T2ME_corSENSE.e03_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0010_1101_T2ME_corSENSE_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0010_401_T2ME_corSENSE.e01_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0010_401_T2ME_corSENSE_tmpt1_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0010_401_T2ME_corSENSE.e02_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0010_401_T2ME_corSENSE_tmpt1_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0010_401_T2ME_corSENSE.e03_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0010_401_T2ME_corSENSE_tmpt1_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0017_1901_T2ME_corSENSE.e01_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0017_1901_T2ME_corSENSE_tmpt1_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0017_1901_T2ME_corSENSE.e02_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0017_1901_T2ME_corSENSE_tmpt1_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0017_1901_T2ME_corSENSE.e03_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0017_1901_T2ME_corSENSE_tmpt1_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0017_2601_T2ME_corSENSE.e01_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0017_2601_T2ME_corSENSE_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0017_2601_T2ME_corSENSE.e02_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0017_2601_T2ME_corSENSE_seg.nii.gz
/home/sn21/localiser/carp-firstdynamic/CARP0017_2601_T2ME_corSENSE.e03_tmpt1.nii.gz,/home/sn21/localiser/carp-groundtruth/CARP0017_2601_T2ME_corSENSE_seg.nii.gz
