t2sw,lab
/content/drive/My Drive/Colab Notebooks/carp/CARP0033_3301_T2ME_corSENSE.e01_tmpt1.nii.gz,/content/drive/My Drive/Colab Notebooks/carp_manual_seg/CARP0033_3301_T2ME_corSENSE_seg.nii.gz
/content/drive/My Drive/Colab Notebooks/carp/CARP0033_3301_T2ME_corSENSE.e02_tmpt1.nii.gz,/content/drive/My Drive/Colab Notebooks/carp_manual_seg/CARP0033_3301_T2ME_corSENSE_seg.nii.gz
/content/drive/My Drive/Colab Notebooks/carp/CARP0033_3301_T2ME_corSENSE.e03_tmpt1.nii.gz,/content/drive/My Drive/Colab Notebooks/carp_manual_seg/CARP0033_3301_T2ME_corSENSE_seg.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt10_img-528.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt10_seg_pr-529.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt11_img-531.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt11_seg_pr-532.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt12_img-534.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt12_seg_pr-535.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt13_img-537.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt13_seg_pr-538.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt14_img-540.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt14_seg_pr-541.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt15_img-543.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt15_seg_pr-544.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt16_img-546.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt16_seg_pr-547.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt17_img-549.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt17_seg_pr-550.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt18_img-552.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt18_seg_pr-553.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt19_img-555.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt19_seg_pr-556.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt2_img-504.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt2_seg_pr-505.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt20_img-558.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt20_seg_pr-559.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt21_img-561.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt21_seg_pr-562.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt22_img-564.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt22_seg_pr-565.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt23_img-567.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt23_seg_pr-568.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt24_img-570.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt24_seg_pr-571.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt25_img-573.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt25_seg_pr-574.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt26_img-576.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt26_seg_pr-577.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt27_img-579.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt27_seg_pr-580.nii.gz
/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e01_tmpt28_img-582.nii.gz,/content/drive/My Drive/Colab Notebooks/Results/res_label_prop_070122/_CARP0033_3301_T2ME_corSENSE.e02_tmpt28_seg_pr-583.nii.gz
